"Exposure"
"Crohn's disease || id:10"
"Hip circumference || id:100"
"Years of schooling || id:1001"
"Age at menopause || id:1004"
"Percent emphysema || id:1005"
"Mean platelet volume || id:1006"
"Neuroticism || id:1007"
"Platelet count || id:1008"
"Hip circumference || id:101"
"Hip circumference || id:101"
"Years of schooling || id:1010"
"Years of schooling || id:1011"
"C-reactive protein || id:1015"
"C-reactive protein || id:1015"
"Immunoglobulin G index levels || id:1017"
"Waist circumference || id:102"
"Waist circumference || id:102"
"Multiple sclerosis || id:1024"
"Multiple sclerosis || id:1025"
"Waist circumference || id:103"
"Waist circumference || id:103"
"Height || id:1034"
"Hippocampus volume || id:1045"
"Putamen volume || id:1047"
"Iron || id:1049"
"Waist circumference || id:105"
"Ferritin || id:1050"
"Ferritin || id:1050"
"Transferrin Saturation || id:1051"
"Transferrin || id:1052"
"Gout || id:1054"
"Urate || id:1055"
"Heart rate || id:1056"
"Celiac disease || id:1058"
"Celiac disease || id:1059"
"Weight || id:106"
"Celiac disease || id:1060"
"Weight || id:107"
"Sitting height ratio || id:1070"
"Copper || id:1073"
"Zinc || id:1079"
"Birth weight || id:1083"
"Birth weight || id:1084"
"Amyotrophic lateral sclerosis || id:1085"
"Amyotrophic lateral sclerosis || id:1086"
"Amyotrophic lateral sclerosis || id:1086"
"Chronotype || id:1087"
"Sleep duration || id:1088"
"Waist-to-hip ratio || id:109"
"Waist-to-hip ratio || id:109"
"Age at menarche || id:1095"
"Childhood obesity || id:1096"
"Crohn's disease || id:11"
"Chronic kidney disease || id:1102"
"Chronic kidney disease || id:1102"
"Serum creatinine (eGFRcrea) || id:1104"
"Serum creatinine (eGFRcrea) || id:1105"
"Serum cystatin C (eGFRcys) || id:1106"
"Serum cystatin C (eGFRcys) || id:1106"
"Cardioembolic stroke || id:1109"
"Cardioembolic stroke || id:1109"
"Waist-to-hip ratio || id:111"
"Primary sclerosing cholangitis  || id:1112"
"Ovarian cancer || id:1120"
"High grade serous ovarian cancer || id:1121"
"Invasive mucinous ovarian cancer || id:1123"
"Gamma-linolenic acid (18:3n6) || id:1139"
"Dihomo-gamma-linolenic acid (20:3n6) || id:1140"
"Arachidonic acid (20:4n6) || id:1141"
"Linoleic acid (18:2n6) || id:1142"
"Docosapentaenoic acid (22:5n3) || id:1144"
"Docosapentaenoic acid (22:5n3) || id:1144"
"Eicosapentaenoic acid (20:5n3) || id:1147"
"Eicosapentaenoic acid (20:5n3) || id:1147"
"trans-cis-18:2  || id:1148"
"cis-trans-18:2 || id:1150"
"cis-trans-18:2 || id:1150"
"palmitoleic acid (16:1n7) || id:1156"
"Stearic acid (18:0) plasma levels || id:1158"
"Stearic acid (18:0) plasma levels || id:1158"
"ADHD || id:1183"
"Major Depressive Disorder || id:1187"
"Major Depressive Disorder || id:1188"
"Major Depressive Disorder || id:1188"
"Crohn's disease || id:12"
"High grade and low grade serous ovarian cancer || id:1228"
"Serous ovarian cancer: low grade and low malignant potential || id:1229"
"Serous ovarian cancer: low malignant potential || id:1230"
"Serous ovarian cancer: low malignant potential || id:1230"
"Mucinous ovarian cancer: invasive and low malignant potential || id:1231"
"Low malignant potential mucinous ovarian cancer || id:1232"
"Low malignant potential mucinous ovarian cancer || id:1232"
"Low malignant potential ovarian cancer || id:1233"
"Low malignant potential ovarian cancer || id:1233"
"Years of schooling || id:1239"
"CD34 on Stem || id:151"
"CD123 on 11c+123+DC || id:159"
"CD32 on 11c+123+DC || id:162"
"CD32 on 11c+123+DC || id:162"
"Body mass index || id:2"
"Schizophrenia || id:22"
"Type 2 diabetes || id:23"
"Type 2 diabetes || id:24"
"NKeff:%314-158a+ || id:241"
"Type 2 diabetes || id:25"
"Type 2 diabetes || id:26"
"MDC:%32+ || id:266"
"Birth weight || id:27"
"Haemoglobin concentration || id:270"
"Mean cell haemoglobin || id:271"
